Species,Weight,Length,Diagonal,Height,Width
Perch,5.9,8.4,8.8,2.112,1.408
Perch,32,13.7,14.7,3.528,1.9992
Perch,40,15,16,3.824,2.432
Perch,51.5,16.2,17.2,4.5924,2.6316
Perch,70,17.4,18.5,4.588,2.9415
Perch,100,18,19.2,5.2224,3.3216
Perch,78,18.7,19.4,5.1992,3.1234
Perch,80,19,20.2,5.6358,3.0502
Perch,85,19.6,20.8,5.1376,3.0368
Perch,85,20,21,5.082,2.772
Perch,110,21,22.5,5.6925,3.555
Perch,115,21,22.5,5.9175,3.3075
Perch,125,21,22.5,5.6925,3.6675
Perch,130,21.3,22.8,6.384,3.534
Perch,120,22,23.5,6.11,3.4075
Perch,120,22,23.5,5.64,3.525
Perch,130,22,23.5,6.11,3.525
Perch,135,22,23.5,5.875,3.525
Perch,110,22,23.5,5.5225,3.995
Perch,130,22.5,24,5.856,3.624
Perch,150,22.5,24,6.792,3.624
Perch,145,22.7,24.2,5.9532,3.63
Perch,150,23,24.5,5.2185,3.626
Perch,170,23.5,25,6.275,3.725
Perch,225,24,25.5,7.293,3.723
Perch,145,24,25.5,6.375,3.825
Perch,188,24.6,26.2,6.7334,4.1658
Perch,180,25,26.5,6.4395,3.6835
Perch,197,25.6,27,6.561,4.239
Perch,218,26.5,28,7.168,4.144
Perch,300,27.3,28.7,8.323,5.1373
Perch,260,27.5,28.9,7.1672,4.335
Perch,265,27.5,28.9,7.0516,4.335
Perch,250,27.5,28.9,7.2828,4.5662
Perch,250,28,29.4,7.8204,4.2042
Perch,300,28.7,30.1,7.5852,4.6354
Perch,320,30,31.6,7.6156,4.7716
Perch,514,32.8,34,10.03,6.018
Perch,556,34.5,36.5,10.2565,6.3875
Perch,840,35,37.3,11.4884,7.7957
Perch,685,36.5,39,10.881,6.864
Perch,700,36,38.3,10.6091,6.7408
Perch,700,37,39.4,10.835,6.2646
Perch,690,37,39.3,10.5717,6.3666
Perch,900,39,41.4,11.1366,7.4934
Perch,650,39,41.4,11.1366,6.003
Perch,820,39,41.3,12.4313,7.3514
Perch,850,40,42.3,11.9286,7.1064
Perch,900,40,42.5,11.73,7.225
Perch,1015,40,42.4,12.3808,7.4624
Perch,820,40,42.5,11.135,6.63
Perch,1100,42,44.6,12.8002,6.8684
Perch,1000,43,45.2,11.9328,7.2772
Perch,1100,43,45.5,12.5125,7.4165
Perch,1000,43.5,46,12.604,8.142
Perch,1000,44,46.6,12.4888,7.5958
